UF,MUNICIPIO_NORM,LEITOS_SUS,POPULAÇÃO ESTIMADA,LEITOS_TOTAL_PER_THOUSAND
RS,boqueirao do leao,34,6202.0,5.482102547565301
MA,sambaiba,34,6234.0,5.453962143086301
GO,damolandia,15,2753.0,5.448601525608427
GO,goiandira,27,4962.0,5.441354292623942
PR,altamira do parana,19,3496.0,5.434782608695652
RS,ilopolis,23,4245.0,5.418138987043581
RS,sinimbu,47,8685.0,5.411629245826137
RS,herval,34,6302.0,5.395112662646779
SP,tupa,352,65433.0,5.379548545840784
GO,mutunopolis,19,3540.0,5.367231638418079
GO,formoso,25,4662.0,5.362505362505362
GO,santa tereza de goias,17,3172.0,5.359394703656999
RS,saldanha marinho,14,2619.0,5.345551737304314
BA,cravolandia,24,4491.0,5.344021376085505
RS,mucum,25,4692.0,5.328218243819267
GO,portelandia,17,3191.0,5.3274835474772795
GO,santa cruz de goias,16,3004.0,5.326231691078562
MA,tufilandia,30,5633.0,5.325758920646192
GO,corrego do ouro,13,2441.0,5.325686194182712
SC,mondai,54,10206.0,5.291005291005291
RS,piratini,94,17770.0,5.289814293753517
TO,arapoema,29,5488.0,5.284256559766764
PE,serra talhada,521,98816.0,5.272425518134715
RS,pedro osorio,40,7631.0,5.24177696239025
PR,prado ferreira,20,3816.0,5.241090146750524
TO,arraias,55,10511.0,5.232613452573495
SP,garca,225,43081.0,5.222719992572132
RN,portalegre,41,7859.0,5.21694872121135
TO,augustinopolis,95,18237.0,5.2091901080221525
BA,rio do pires,56,10781.0,5.194323346628328
PI,prata do piaui,16,3096.0,5.167958656330749
MG,aiuruoca,33,6389.0,5.165127562998904
RS,alecrim,32,6219.0,5.145521788068821
MT,tesouro,15,2935.0,5.110732538330494
SC,treze de maio,39,7633.0,5.109393423293594
PI,bocaina,21,4118.0,5.099562894609034
PR,sao miguel do iguacu,155,30416.0,5.0960021041557075
MA,presidente medici,24,4717.0,5.087979648081407
RS,cambara do sul,33,6490.0,5.084745762711864
RS,roque gonzales,34,6693.0,5.079934259674287
SC,santa cecilia,80,15749.0,5.079687599212648
MG,divino das laranjeiras,21,4147.0,5.0639016156257535
CE,granjeiro,25,4955.0,5.045408678102927
RS,humaita,24,4772.0,5.029337803855825
GO,buriti de goias,14,2800.0,5.0
SC,bom retiro,42,8422.0,4.986938969365947
MG,minduri,19,3811.0,4.985568092364209
RS,candido godoi,32,6419.0,4.985200186945007
CE,brejo santo,270,54192.0,4.982285208148804
MG,uniao de minas,19,3818.0,4.97642744892614
RS,arroio do tigre,61,12291.0,4.962981043039623
PR,miraselva,10,2017.0,4.95785820525533
RN,pau dos ferros,159,32123.0,4.949724496466707
GO,mairipotaba,13,2631.0,4.941087039148613
MG,diamantina,244,49493.0,4.929990099610046
PR,kalore,23,4666.0,4.929275610801543
MS,pedro gomes,34,6910.0,4.92040520984081
RN,antonio martins,33,6730.0,4.903417533432393
MA,sao felix de balsas,22,4491.0,4.8986862614117115
PR,ibema,31,6343.0,4.887277313574019
PR,umuarama,601,123059.0,4.883836208647884
PR,loanda,117,23966.0,4.881916047734291
GO,trombas,15,3080.0,4.87012987012987
MA,nova colinas,25,5148.0,4.856254856254856
MA,passagem franca,85,17591.0,4.832016372008414
GO,arenopolis,14,2904.0,4.820936639118457
BA,cristopolis,70,14549.0,4.811327238985497
GO,palminopolis,19,3959.0,4.799191715079566
PR,santo antonio do paraiso,10,2088.0,4.7892720306513406
RS,serio,10,2089.0,4.786979415988511
SC,major vieira,36,7543.0,4.772636881877237
RS,guarani das missoes,36,7547.0,4.770107327414867
GO,cumari,14,2951.0,4.744154523890207
MG,abre campo,68,14354.0,4.737355440992058
PI,sao juliao,29,6131.0,4.730060349045832
RS,putinga,18,3809.0,4.725649776844317
PB,picui,89,18862.0,4.718481603223412
RS,chapada,46,9751.0,4.717464875397395
PR,sao jose das palmeiras,19,4031.0,4.713470602828083
PR,itauna do sul,17,3607.0,4.7130579428888275
PR,grandes rios,26,5527.0,4.704179482540257
SP,bilac,35,7464.0,4.689174705251876
RS,aratiba,31,6618.0,4.684194620731339
MG,monsenhor paulo,40,8565.0,4.670169293636894
BA,irajuba,29,6232.0,4.653401797175866
SC,witmarsum,21,4513.0,4.653224019499224
TO,palmeiropolis,33,7104.0,4.64527027027027
SP,jau,638,137409.0,4.643072870044902
MG,coluna,38,8206.0,4.6307579819644165
MG,alagoa,13,2820.0,4.609929078014184
PR,rancho alegre,16,3472.0,4.608294930875576
RS,fortaleza dos valos,21,4569.0,4.596191726854892
MA,porto rico do maranhao,28,6092.0,4.596191726854892
RS,ivora,9,1962.0,4.587155963302752
PR,sapopema,31,6778.0,4.573620537031572
RS,pinheiro machado,52,11395.0,4.563405002193945
MT,novo sao joaquim,33,7239.0,4.5586406962287604
RS,sao francisco de paula,102,22388.0,4.556012149365731
PR,cornelio procopio,208,45720.0,4.549431321084864
RJ,mendes,82,18048.0,4.543439716312056
PI,wall ferraz,19,4195.0,4.529201430274136
MA,presidente dutra,211,46606.0,4.527314079732224
MG,ibertioga,24,5346.0,4.489337822671156
